Respondent,LanguageWorkedWith
4,C
4,C++
4,C#
4,Python
4,SQL
9,Bash/Shell/PowerShell
9,C#
9,HTML/CSS
9,JavaScript
9,Python
9,Ruby
9,Rust
9,SQL
9,TypeScript
9,WebAssembly
9,Other(s):
13,Bash/Shell/PowerShell
13,HTML/CSS
13,JavaScript
13,PHP
13,SQL
13,TypeScript
16,Bash/Shell/PowerShell
16,C#
16,HTML/CSS
16,JavaScript
16,TypeScript
16,VBA
17,Bash/Shell/PowerShell
17,HTML/CSS
17,JavaScript
17,TypeScript
19,C#
19,HTML/CSS
19,Java
19,JavaScript
19,SQL
19,TypeScript
20,Bash/Shell/PowerShell
20,C#
20,HTML/CSS
20,Java
20,JavaScript
20,PHP
20,Python
20,R
20,SQL
22,Bash/Shell/PowerShell
22,C++
22,HTML/CSS
22,JavaScript
22,Python
22,Ruby
22,SQL
22,TypeScript
23,Bash/Shell/PowerShell
23,HTML/CSS
23,JavaScript
23,Python
23,Ruby
23,SQL
24,HTML/CSS
24,JavaScript
24,PHP
24,TypeScript
25,HTML/CSS
25,JavaScript
25,PHP
25,SQL
25,TypeScript
26,Bash/Shell/PowerShell
26,C++
26,C#
26,HTML/CSS
26,JavaScript
26,PHP
26,Python
26,Ruby
26,SQL
26,Swift
26,TypeScript
26,VBA
29,Bash/Shell/PowerShell
29,JavaScript
29,SQL
32,Bash/Shell/PowerShell
32,HTML/CSS
32,JavaScript
32,PHP
32,Python
38,C#
38,HTML/CSS
38,JavaScript
38,SQL
39,C#
39,JavaScript
39,SQL
39,TypeScript
43,C++
43,C#
43,HTML/CSS
43,Java
43,JavaScript
43,Objective-C
43,SQL
44,Bash/Shell/PowerShell
44,C#
44,HTML/CSS
44,Java
44,JavaScript
44,SQL
44,TypeScript
44,WebAssembly
49,Bash/Shell/PowerShell
49,HTML/CSS
49,Java
49,JavaScript
49,PHP
49,Python
49,SQL
49,TypeScript
50,Bash/Shell/PowerShell
50,C
50,C++
50,HTML/CSS
50,Java
50,JavaScript
50,PHP
50,Python
50,SQL
53,Bash/Shell/PowerShell
53,HTML/CSS
53,Java
53,JavaScript
53,PHP
53,SQL
53,TypeScript
54,Bash/Shell/PowerShell
54,HTML/CSS
54,JavaScript
54,Python
56,Bash/Shell/PowerShell
56,HTML/CSS
56,Java
56,SQL
57,JavaScript
57,Python
60,Bash/Shell/PowerShell
60,Go
60,JavaScript
60,PHP
60,Python
60,Ruby
60,SQL
61,C++
61,C#
61,HTML/CSS
61,JavaScript
61,PHP
61,Python
61,SQL
61,VBA
62,Bash/Shell/PowerShell
62,C++
62,Go
62,HTML/CSS
62,Java
62,JavaScript
62,Kotlin
62,PHP
62,Python
62,Ruby
62,SQL
62,TypeScript
62,VBA
67,C
67,C#
67,HTML/CSS
67,Java
67,JavaScript
67,PHP
67,Python
67,SQL
67,VBA
68,HTML/CSS
68,Java
68,JavaScript
68,Python
70,C#
70,HTML/CSS
70,JavaScript
70,SQL
71,HTML/CSS
71,JavaScript
71,PHP
71,Python
71,SQL
71,VBA
74,HTML/CSS
74,Java
74,JavaScript
74,Kotlin
74,Python
74,Ruby
75,HTML/CSS
75,JavaScript
76,PHP
76,SQL
78,HTML/CSS
78,Java
78,JavaScript
78,Kotlin
78,Python
80,Bash/Shell/PowerShell
80,C#
80,F#
80,Go
80,HTML/CSS
80,Java
80,JavaScript
80,Python
80,SQL
80,TypeScript
83,HTML/CSS
83,JavaScript
84,C
84,C++
84,C#
84,Java
84,Kotlin
84,PHP
84,SQL
86,Bash/Shell/PowerShell
86,C#
86,HTML/CSS
86,JavaScript
86,PHP
86,Python
86,SQL
87,Bash/Shell/PowerShell
87,C
87,C++
87,C#
87,Go
87,HTML/CSS
87,Java
87,JavaScript
87,Objective-C
87,Python
87,SQL
90,Bash/Shell/PowerShell
90,C#
90,HTML/CSS
90,Java
90,JavaScript
90,Objective-C
90,PHP
90,Python
90,Ruby
90,SQL
90,Swift
90,TypeScript
92,HTML/CSS
92,Java
92,JavaScript
92,Kotlin
92,SQL
92,VBA
94,C#
94,HTML/CSS
94,JavaScript
94,SQL
95,C#
95,HTML/CSS
95,JavaScript
95,Python
95,R
95,SQL
97,Bash/Shell/PowerShell
97,JavaScript
97,Python
97,R
97,SQL
100,HTML/CSS
100,JavaScript
100,Ruby
100,SQL
100,TypeScript
102,C#
102,HTML/CSS
102,JavaScript
102,SQL
102,TypeScript
104,C#
104,HTML/CSS
104,TypeScript
109,C#
109,HTML/CSS
109,JavaScript
109,SQL
110,Python
110,SQL
