Membership No  Date Joined  Active  
    19830      2018-1-16    no    
    29301      2019-7-21    no    
    84863      2015-6-2     no    
    71598      2015-5-5     no    
    72769      2020-5-22    no    
    48865      2020-5-16    no    
    68546      2019-9-16    no    
    37492      2015-1-5     no    
    84425      2017-4-10    no    
    77319      2017-10-5    no    
    76624      2016-11-10   no    
    71505      2020-2-14    no    
    58373      2017-5-16    no    
    66013      2019-1-24    no    
