Membership No  Date Joined  Active  
    64130      2015-9-24    no    
    21593      2017-6-13    no    
    23637      2019-12-1    no    
    25720      2015-3-14    no    
    49646      2018-8-2     no    
    48207      2015-8-11    no    
    44326      2020-7-1     no    
    51325      2020-12-21   no    
    20076      2019-2-2     no    
    42523      2018-10-24   no    
    92086      2020-7-23    no    
    97598      2019-6-8     no    
    36683      2016-10-10   no    
    67237      2018-12-9    no    
    63495      2019-4-11    no    
